PMID,Title,Authors,Journal,Year,DOI,Notes
29247140,"Genetic dissection of cyclic pyranopterin monophosphate biosynthesis in plant mitochondria.","Kruse I, Maclean AE, Hill L, Balk J.","Biochem J.",2018,"10.1042/BCJ20170559","Free PMC article"
33909276,"Fosdenopterin: First Approval.","Kang C.","Drugs.",2021,"10.1007/s40265-021-01520-2","Review"
23384403,"Synthesis of cyclic pyranopterin monophosphate, a biosynthetic intermediate in the molybdenum cofactor pathway.","Clinch K, Watt DK, Dixon RA, Baars SM, Gainsford GJ, Tiwari A, Schwarz G, Saotome Y, Storek M, Belaidi AA, Santamaria-Araujo JA.","J Med Chem.",2013,"10.1021/jm301855r","Epub 2013 Feb 19"
