PMID,Title
11332461,Molybdenum cofactor deficiency: report of three cases presenting as hypoxic-ischemic encephalopathy
15794186,Molybdenum cofactor deficiency presenting with severe metabolic acidosis and intracranial hemorrhage
9459218,Molybdenum cofactor deficiency-phenotypic variability in a family with a late-onset variant
39488078,cPMP rescue of a neonate with severe molybdenum cofactor deficiency after serendipitous early diagnosis, and characterisation of a novel MOCS1 variant
11045402,Clinical quiz. Molybdenum cofactor deficiency
25764214,Ultra-orphan diseases: a quantitative analysis of the natural history of molybdenum cofactor deficiency
21907887,Clinical neuroimaging features and outcome in molybdenum cofactor deficiency
21285035,Prenatal brain disruption in molybdenum cofactor deficiency
29368224,A mild case of molybdenum cofactor deficiency defines an alternative route of MOCS1 protein maturation
30619713,Severe cystic degeneration and intractable seizures in a newborn with molybdenum cofactor deficiency type B
27289259,Molybdenum cofactor and isolated sulphite oxidase deficiencies: Clinical and molecular spectrum among Egyptian patients
32014857,Mortality in a neonate with molybdenum cofactor deficiency illustrates the need for a comprehensive rapid precision medicine system
24379235,Early features in neuroimaging of two siblings with molybdenum cofactor deficiency
16429380,Molybdenum cofactor deficiency presenting as neonatal hyperekplexia: a clinical, biochemical and genetic study
2220930,Antenatal diagnosis of molybdenum cofactor deficiency
12732628,Mechanistic studies of human molybdopterin synthase reaction and characterization of mutants identified in group B patients of molybdenum cofactor deficiency
22987873,Favorable outcome in a newborn with molybdenum cofactor type A deficiency treated with cPMP
25657759,Choice of anesthesia in molybdenum cofactor deficiency: A case report
27544473,Amenable Treatable Severe Pediatric Epilepsies
7623453,Molybdenum cofactor deficiency associated with Dandy-Walker malformation
37836841,The History of Animal and Plant Sulfite Oxidase-A Personal View
2289312,Biochemical investigation of a child with molybdenum cofactor deficiency
10053004,Human molybdopterin synthase gene: genomic structure and mutations in molybdenum cofactor deficiency type B
37919041,Comment: Amenable Treatable Severe Pediatric Epilepsies
36423681,Obtaining the necessary molybdenum cofactor for sulfite oxidase activity in the nematode Caenorhabditis elegans surprisingly involves a dietary source
29696052,Novel Imaging Finding and Novel Mutation in an Infant with Molybdenum Cofactor Deficiency, a Mimicker of Hypoxic-Ischaemic Encephalopathy
8404970,Molybdenum cofactor deficiency in two siblings: diagnostic difficulties
18755132,Molybdenum cofactor deficiency as a cause of early epileptic encephalopathy
22403017,Urinary AASA excretion is elevated in patients with molybdenum cofactor deficiency and isolated sulphite oxidase deficiency
10903949,Insights into molybdenum cofactor deficiency provided by the crystal structure of the molybdenum cofactor biosynthesis protein MoaC
9634514,Localization of a gene for molybdenum cofactor deficiency, on the short arm of chromosome 6, by homozygosity mapping
17704913,Cranial ultrasound and chronological changes in molybdenum cofactor deficiency
7474893,Short-term response to dietary therapy in molybdenum cofactor deficiency
37187015,Epilepsy in sulfite oxidase deficiency and related disorders: insights from neuroimaging and genetics
