PMID,Title
21187823,Newborn with neonatal form of molybdenum cofactor deficiency - the first patient in the Slovak Republic
11095995,A mutation in the gene for the neurotransmitter receptor-clustering protein gephyrin causes a novel form of molybdenum cofactor deficiency
15862276,The pathogenesis of molybdenum cofactor deficiency, its delay by maternal clearance, and its expression pattern in microarray analysis
22040219,A GPHN point mutation leading to molybdenum cofactor deficiency
21775622,Timing of cerebral developmental disruption in molybdenum cofactor deficiency
20573177,Maternal uniparental isodisomy is responsible for serious molybdenum cofactor deficiency
26343839,Efficacy and safety of cyclic pyranopterin monophosphate substitution in severe molybdenum cofactor deficiency type A: a prospective cohort study
10759156,Detection by mass spectrometry of highly increased amount of S-sulfonated transthyretin in serum from a patient with molybdenum cofactor deficiency
30695801,The Persistent Generalized Muscle Contraction in Siblings with Molybdenum Cofactor Deficiency Type A
8741046,Dextromethorphan in molybdenum cofactor deficiency
23147983,Pyridoxine-dependent epilepsy with elevated urinary α-amino adipic semialdehyde in molybdenum cofactor deficiency
39207127,Epilepsy and inborn errors of metabolism
9921896,Genomic structure and mutational spectrum of the bicistronic MOCS1 gene defective in molybdenum cofactor deficiency type A
7483042,Molybdenum cofactor deficiency. Clinical symptoms and diagnostic strategy
2522104,Molybdenum cofactor biosynthesis in humans. Identification of two complementation groups of cofactor-deficient patients and preliminary characterization of a diffusible molybdopterin precursor
23250031,Distinctive pattern of restricted diffusion in a neonate with molybdenum cofactor deficiency
16176880,Disorders of purine and pyrimidine metabolism
12471057,Molybdenum cofactor-deficient mice resemble the phenotype of human patients
17236133,Long-term rescue of a lethal inherited disease by adeno-associated virus-mediated gene transfer in a mouse model of molybdenum-cofactor deficiency
26775885,Sulfite oxidase activity deficiency caused by cofactor molybdenum deficiency: A case of early severe encephalopathy
18092812,Crystal structure of a molybdopterin synthase-precursor Z complex: insight into its sulfur transfer mechanism and its role in molybdenum cofactor deficiency
10552066,In vivo brain proton MR spectroscopy in a case of molybdenum cofactor deficiency
17107419,Chaperone protection of immature molybdoenzyme during molybdenum cofactor limitation
15317939,Crystal structure of the S-adenosylmethionine-dependent enzyme MoaA and its implications for molybdenum cofactor deficiency in humans
23128059,The association of molybdenum cofactor deficiency and pyloric stenosis
